Title,Project Link
Davv AI,https://ai.google.dev/competition/projects/davv-ai
DDMD,https://ai.google.dev/competition/projects/ddmd
Elfelah,https://ai.google.dev/competition/projects/elfelah
FormBlueprint,https://ai.google.dev/competition/projects/formblueprint
GeoGemini,https://ai.google.dev/competition/projects/geogemini
InteractiveLearning,https://ai.google.dev/competition/projects/interactivelearning
Khalili,https://ai.google.dev/competition/projects/khalili
Moadalaty,https://ai.google.dev/competition/projects/moadalaty
Nogap,https://ai.google.dev/competition/projects/nogap
Nojoom.AI,https://ai.google.dev/competition/projects/nojoomai
smartchatbot,https://ai.google.dev/competition/projects/smartchatbot
agro.ia,https://ai.google.dev/competition/projects/agroia
Tchissola,https://ai.google.dev/competition/projects/tchissola
The Riddle Of Wisdom,https://ai.google.dev/competition/projects/the-riddle-of-wisdom
Abuelo GPT,https://ai.google.dev/competition/projects/abuelo-gpt
Chess Commander,https://ai.google.dev/competition/projects/chess-commander
Game Master AI,https://ai.google.dev/competition/projects/game-master-ai
Gemi Slice | Gemini Snippet on Search ✨,https://ai.google.dev/competition/projects/gemi-slice-gemini-snippet-on-search
Gemini AI Book Capture,https://ai.google.dev/competition/projects/gemini-ai-book-capture
GeminiSH,https://ai.google.dev/competition/projects/geminish
IADA,https://ai.google.dev/competition/projects/iada
Kind Konnect,https://ai.google.dev/competition/projects/kind-konnect
Lorean,https://ai.google.dev/competition/projects/lorean
Luminaria,https://ai.google.dev/competition/projects/luminaria
PrepAI,https://ai.google.dev/competition/projects/prepai
Severus,https://ai.google.dev/competition/projects/severus
A10fy,https://ai.google.dev/competition/projects/a10fy
AI Arena,https://ai.google.dev/competition/projects/ai-arena
Gemifood,https://ai.google.dev/competition/projects/gemifood
One minute changelog,https://ai.google.dev/competition/projects/one-minute-changelog
Backyard Safari,https://ai.google.dev/competition/projects/backyard-safari
Checkr Bot,https://ai.google.dev/competition/projects/checkr-bot
Clarify,https://ai.google.dev/competition/projects/clarify
Class Planner,https://ai.google.dev/competition/projects/class-planner
Clickolas Cage,https://ai.google.dev/competition/projects/clickolas-cage
Companion 1,https://ai.google.dev/competition/projects/companion-1
Discipleship Journey,https://ai.google.dev/competition/projects/discipleship-journey
doggle,https://ai.google.dev/competition/projects/doggle
Easy Apply,https://ai.google.dev/competition/projects/easy-apply
EduQuiz,https://ai.google.dev/competition/projects/eduquiz
Fetebird,https://ai.google.dev/competition/projects/fetebird
Fortograph,https://ai.google.dev/competition/projects/fortograph
Gemini Voice Companion,https://ai.google.dev/competition/projects/gemini-voice-companion
Holopaws,https://ai.google.dev/competition/projects/holopaws
Karna,https://ai.google.dev/competition/projects/karna
My Espresso,https://ai.google.dev/competition/projects/my-espresso
Ortege Blocksmith,https://ai.google.dev/competition/projects/ortege-blocksmith
Pack Pet Health,https://ai.google.dev/competition/projects/pack-pet-health
ReciMe,https://ai.google.dev/competition/projects/recime
