Application,Technology
Davv AI,web/chrome
Davv AI,google speech recognition
DDMD,web/chrome
DDMD,google colab
DDMD,google slides
DDMD,google sppech-to-text ai
Elfelah,web/chrome
FormBlueprint,web/chrome
FormBlueprint,google drive
FormBlueprint,google auth
GeoGemini,web/chrome
GeoGemini,firebase
InteractiveLearning,python pycharm
Khalili,android
Khalili,most impact app
Khalili,most useful app.
Moadalaty,android
Nogap,web/chrome
Nogap,firebase
Nojoom.AI,flutter
Nojoom.AI,android
Nojoom.AI,web/chrome
smartchatbot,android
agro.ia,flutter
Tchissola,flutter
Tchissola,firebase
The Riddle Of Wisdom,web/chrome
The Riddle Of Wisdom,agular
Abuelo GPT,android
Chess Commander,flutter
Chess Commander,web/chrome
Game Master AI,web/chrome
Game Master AI,firebase
Gemi Slice | Gemini Snippet on Search ✨,web/chrome
Gemi Slice | Gemini Snippet on Search ✨,google chrome extension
Gemini AI Book Capture,android
GeminiSH,nan
IADA,web/chrome
Kind Konnect,flutter
Kind Konnect,firebase
Lorean,flutter
Lorean,firebase
Luminaria,flutter
Luminaria,firebase
PrepAI,web/chrome
Severus,web/chrome
Severus,no pude usar la api convierte voz en texto con la ia de google
A10fy,web/chrome
AI Arena,web/chrome
Gemifood,android
Gemifood,material 3
Gemifood,google maps api and google cloud
One minute changelog,nan
Backyard Safari,flutter
Backyard Safari,android
Backyard Safari,firebase
Backyard Safari,google maps
Checkr Bot,web/chrome
Checkr Bot,firebase
Checkr Bot,vertexai - gemini
Clarify,flutter
Clarify,android
Clarify,firebase
Class Planner,web/chrome
Clickolas Cage,web/chrome
Companion 1,web/chrome
Discipleship Journey,nan
doggle,firebase
doggle,google cloud sql
Easy Apply,web/chrome
Easy Apply,google cloud
EduQuiz,web/chrome
EduQuiz,firebase
EduQuiz,angular
EduQuiz,typescript
Fetebird,web/chrome
Fortograph,web/chrome
Gemini Voice Companion,web/chrome
Holopaws,android
Karna,nan
My Espresso,flutter
My Espresso,firebase
Ortege Blocksmith,gcp
Pack Pet Health,flutter
ReciMe,web/chrome
